,Unnamed: 0,title,Date,title_label,Open,Change
0,0,"카카오모빌리티, ‘2024년 자율주행 인공지능 챌린지’ 개최",2024-08-27,0,38650.0,1100.0
1,1,"카카오커머스, 추석 맞이 ‘강추위크’ 진행",2024-08-26,1,37550.0,100.0
2,2,"카카오, ‘제12회 브런치북 출판 프로젝트’ 개최",2024-08-26,0,37550.0,100.0
3,3,카카오브레인 역사 속으로…디케이테크인에 흡수합병,2024-08-23,1,37450.0,550.0
4,4,"'티메프 여파'…카카오, 본죽·할리스 기프티콘 환불",2024-08-23,0,37450.0,550.0
5,5,"'티메프 여파' 카카오 선물하기, 엠트웰브와 계약 해지…'할리스·본죽' 등 기프티콘 환불",2024-08-23,0,37450.0,550.0
6,6,"카카오모빌리티, 제천 레스트리 리솜 리조트에 로봇 배송 서비스 ‘브링’ 도입",2024-08-21,0,36500.0,-400.0
7,7,"""내가 받은 기프티콘도 못 쓰는 거 아냐?"" '티메프 사태' 불똥 카카오 선물하기까지 튀었다",2024-08-20,0,36900.0,250.0
8,8,"카카오, '대한민국 한 바퀴 챌린지' 도전자 모집",2024-08-19,0,36650.0,-650.0
9,10,"카카오게임즈, ‘2024 유스 e-스포츠 페스티벌’ 장학금 및 물품 후원",2024-08-16,1,37300.0,650.0
10,11,"""카톡 사칭 사기 막는다""…카카오, '페이크 시그널' 기능 도입",2024-08-14,0,36650.0,-300.0
11,12,"""국민 신뢰·사랑 받을 것""…카카오, 공정거래 자율준수 프로그램 도입",2024-08-14,1,36650.0,-300.0
12,13,"카카오, 카카오톡에 ‘페이크 시그널’ 기능 도입",2024-08-14,0,36650.0,-300.0
13,14,"카카오게임즈, 오션드라이브 신작 '로스트 아이돌론스'·'섹션13' 퍼블리싱 계약",2024-08-13,0,36950.0,-150.0
14,15,"카카오엔터, 반년새 불법물 2억7000만건 삭제…불법사이트도 폐쇄",2024-08-13,0,36950.0,-150.0
15,16,"카카오모빌리티, 택시 기사 가족 대상 코딩 교육 캠프 ‘주니어랩 2기’ 진행",2024-08-12,0,37100.0,-1800.0
16,17,"카카오, 단골시장 ‘우수시장 조성’ 발대식",2024-08-09,0,38900.0,-50.0
17,18,카톡처럼…카카오 '대화형AI' 연내 출시,2024-08-08,1,38950.0,1650.0
18,19,"카카오 ""카톡·AI 관련 없으면 비핵심 사업…하반기 효율화 작업 속도감 있게 진행""",2024-08-08,0,38950.0,1650.0
19,20,"카카오 ""하반기 B2C 기반 대화형 AI 서비스 선보일 것""",2024-08-08,0,38950.0,1650.0
20,21,"카카오모빌리티, 현대엘리베이터와 ‘로봇플랫폼·승강기 연동 표준 기반 서비스 고도화’ MOU",2024-08-08,1,38950.0,1650.0
21,22,카카오 2분기 영업익 1340억원…전년 比 18%↑,2024-08-08,1,38950.0,1650.0
22,23,"카카오, ‘2024 카카오 클래스’ 심화과정 참가자 모집 ?",2024-08-07,0,37300.0,550.0
23,24,"카카오게임즈 ""3분기부터 비핵심 사업·프로젝트 정리…기업가치 제고 최우선""",2024-08-07,0,37300.0,550.0
24,25,카카오표 DX 과외 '단골거리' 소상공인 디지털 소외 지웠다,2024-08-07,0,37300.0,550.0
25,26,"카카오게임즈, 2700억원 규모 교환사채 발행",2024-08-06,0,36750.0,-2800.0
26,27,"카카오, 스타벅스와 업무협약…톡학생증 전용 혜택 확대",2024-08-06,0,36750.0,-2800.0
27,28,"카카오같이가치, ‘815를 기억하는 모두의행동' 이벤트",2024-08-06,1,36750.0,-2800.0
28,29,"카카오헬스케어, 글로벌 ‘연구 협력 네트워크’ 17개 병원으로 확대",2024-08-05,0,39550.0,50.0
